bartime,direction,legHigh,legLow,legRange,fib050,fib0618,zoneUpper,zoneLower,invalidLevel
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
2025.10.03 11:00,BULL,3865.59,3837.97,27.620000000000346,3851.7799999999997,3848.52084,3851.7799999999997,3848.52084,3843.8806799999998
